行业名称,:LABEL,Industry:ID
综合行业,行业,100000000
公路桥梁,行业,100000001
化纤行业,行业,100000002
机械行业,行业,100000003
生物制药,行业,100000004
石油行业,行业,100000005
玻璃行业,行业,100000006
仪器仪表,行业,100000007
交通运输,行业,100000008
飞机制造,行业,100000009
农林牧渔,行业,100000010
建筑建材,行业,100000011
塑料制品,行业,100000012
商业百货,行业,100000013
纺织行业,行业,100000014
医疗器械,行业,100000015
有色金属,行业,100000016
供水供气,行业,100000017
发电设备,行业,100000018
造纸行业,行业,100000019
船舶制造,行业,100000020
煤炭行业,行业,100000021
食品行业,行业,100000022
陶瓷行业,行业,100000023
纺织机械,行业,100000024
钢铁行业,行业,100000025
环保行业,行业,100000026
酿酒行业,行业,100000027
次新股,行业,100000028
电器行业,行业,100000029
传媒娱乐,行业,100000030
化工行业,行业,100000031
房地产,行业,100000032
金融行业,行业,100000033
其它行业,行业,100000034
开发区,行业,100000035
电子信息,行业,100000036
服装鞋类,行业,100000037
电子器件,行业,100000038
电力行业,行业,100000039
汽车制造,行业,100000040
家具行业,行业,100000041
农药化肥,行业,100000042
酒店旅游,行业,100000043
水泥行业,行业,100000044
物资外贸,行业,100000045
摩托车,行业,100000046
印刷包装,行业,100000047
家电行业,行业,100000048
